city,state,lat,lon,hardness_mg_l,ph,tds_mg_l,chlorine_mg_l,source_type,year,reliability
Mumbai,Maharashtra,19.0760,72.8777,120,7.3,350,0.8,surface,2024,high
Delhi,Delhi,28.6139,77.2090,280,7.9,550,1.2,ground+surface,2024,high
Bangalore,Karnataka,12.9716,77.5946,180,7.1,420,0.6,ground,2024,high
Chennai,Tamil Nadu,13.0827,80.2707,350,8.2,720,1.0,ground,2024,high
Kolkata,West Bengal,22.5726,88.3639,130,7.4,320,0.9,surface,2024,high
Hyderabad,Telangana,17.3850,78.4867,220,7.6,480,0.7,ground,2024,high
Pune,Maharashtra,18.5204,73.8567,140,7.2,380,0.7,ground,2024,medium
Ahmedabad,Gujarat,23.0225,72.5714,260,8.0,520,1.1,ground,2024,high
Jaipur,Rajasthan,26.9124,75.7873,320,8.3,680,0.9,ground,2024,high
Lucknow,Uttar Pradesh,26.8467,80.9462,240,7.7,500,1.0,ground,2024,medium
Surat,Gujarat,21.1702,72.8311,200,7.8,450,0.8,ground,2024,medium
Kochi,Kerala,9.9312,76.2673,80,6.8,180,0.5,surface,2024,high
Chandigarh,Chandigarh,30.7333,76.7794,180,7.5,380,0.7,surface,2024,high
Indore,Madhya Pradesh,22.7196,75.8577,260,7.9,520,0.9,ground,2024,medium
Bhopal,Madhya Pradesh,23.2599,77.4126,220,7.6,460,0.8,ground,2024,medium
Nagpur,Maharashtra,21.1458,79.0882,200,7.7,440,0.8,ground,2024,medium
Visakhapatnam,Andhra Pradesh,17.6868,83.2185,150,7.3,350,0.7,surface,2024,medium
Patna,Bihar,25.5941,85.1376,280,7.8,580,1.1,ground,2024,medium
Vadodara,Gujarat,22.3072,73.1812,240,7.9,490,0.9,ground,2024,medium
Guwahati,Assam,26.1445,91.7362,100,6.9,220,0.6,surface,2024,medium
Thiruvananthapuram,Kerala,8.5241,76.9366,70,6.7,160,0.4,surface,2024,high
Coimbatore,Tamil Nadu,11.0168,76.9558,180,7.4,400,0.7,ground,2024,medium
Ludhiana,Punjab,30.9010,75.8573,240,7.8,510,0.9,ground,2024,medium
Agra,Uttar Pradesh,27.1767,78.0081,320,8.1,650,1.0,ground,2024,medium
Nashik,Maharashtra,19.9975,73.7898,160,7.5,390,0.7,ground,2024,medium
Varanasi,Uttar Pradesh,25.3176,82.9739,260,7.7,540,1.0,ground+surface,2024,medium
Madurai,Tamil Nadu,9.9252,78.1198,200,7.6,450,0.8,ground,2024,medium
Rajkot,Gujarat,22.3039,70.8022,220,7.9,470,0.9,ground,2024,medium
Goa,Goa,15.2993,74.1240,90,7.0,200,0.5,surface,2024,high
Amritsar,Punjab,31.6340,74.8723,260,7.9,530,1.0,ground,2024,medium